DATE	P15	P40	P60	P85
04-19	-5.408	-5.206	-4.974	-4.763	
04-20	-5.392	-5.21	-4.979	-4.769	
04-21	-5.396	-5.209	-4.983	-4.755	
04-22	-5.4	-5.205	-4.988	-4.761	
04-23	-5.404	-5.208	-4.993	-4.763	
04-24	-5.408	-5.201	-4.998	-4.767	
04-25	-5.411	-5.184	-5.003	-4.773	
04-26	-5.415	-5.185	-4.998	-4.778	
04-27	-5.419	-5.189	-4.997	-4.783	
04-28	-5.423	-5.188	-5.002	-4.789	
04-29	-5.427	-5.191	-5.001	-4.794	
04-30	-5.43	-5.195	-4.987	-4.799	
05-01	-5.434	-5.2	-4.991	-4.792	
05-02	-5.438	-5.196	-4.996	-4.786	
05-03	-5.442	-5.2	-5.001	-4.791	
05-04	-5.445	-5.191	-5.006	-4.797	
05-05	-5.434	-5.194	-5.011	-4.802	
05-06	-5.434	-5.198	-5.015	-4.807	
05-07	-5.437	-5.203	-5.018	-4.813	
05-08	-5.441	-5.207	-5.023	-4.818	
05-09	-5.445	-5.211	-5.028	-4.823	
05-10	-5.449	-5.215	-5.033	-4.828	
05-11	-5.452	-5.22	-5.021	-4.827	
05-12	-5.456	-5.224	-5.026	-4.809	
05-13	-5.448	-5.225	-5.025	-4.802	
05-14	-5.451	-5.23	-5.023	-4.808	
05-15	-5.455	-5.234	-5.028	-4.813	
05-16	-5.459	-5.238	-5.033	-4.818	
05-17	-5.463	-5.239	-5.037	-4.823	
05-18	-5.466	-5.243	-5.042	-4.828	
05-19	-5.47	-5.247	-5.029	-4.834	
05-20	-5.474	-5.251	-5.033	-4.839	
05-21	-5.477	-5.255	-5.038	-4.844	
05-22	-5.469	-5.257	-5.042	-4.849	
05-23	-5.473	-5.252	-5.047	-4.854	
05-24	-5.477	-5.257	-5.052	-4.86	
05-25	-5.48	-5.261	-5.056	-4.865	
05-26	-5.484	-5.265	-5.061	-4.87	
05-27	-5.488	-5.268	-5.066	-4.875	
05-28	-5.491	-5.27	-5.07	-4.88	
05-29	-5.482	-5.275	-5.075	-4.885	
05-30	-5.486	-5.279	-5.08	-4.89	
05-31	-5.49	-5.28	-5.082	-4.895	
06-01	-5.493	-5.284	-5.087	-4.9	
06-02	-5.497	-5.289	-5.092	-4.905	
06-03	-5.5	-5.291	-5.096	-4.91	
06-04	-5.504	-5.295	-5.101	-4.915	
06-05	-5.508	-5.299	-5.105	-4.92	
06-06	-5.511	-5.303	-5.11	-4.925	
06-07	-5.515	-5.308	-5.114	-4.93	
06-08	-5.518	-5.312	-5.119	-4.935	
06-09	-5.522	-5.311	-5.124	-4.94	
06-10	-5.52	-5.315	-5.128	-4.945	
06-11	-5.523	-5.319	-5.133	-4.95	
06-12	-5.521	-5.319	-5.137	-4.949	
06-13	-5.524	-5.301	-5.141	-4.939	
06-14	-5.528	-5.303	-5.146	-4.941	
06-15	-5.531	-5.307	-5.15	-4.934	
06-16	-5.535	-5.311	-5.155	-4.917	
06-17	-5.538	-5.313	-5.159	-4.9	
06-18	-5.542	-5.317	-5.162	-4.885	
06-19	-5.532	-5.321	-5.148	-4.89	
06-20	-5.535	-5.325	-5.141	-4.895	
06-21	-5.538	-5.329	-5.145	-4.889	
06-22	-5.542	-5.333	-5.15	-4.878	
06-23	-5.545	-5.334	-5.154	-4.861	
06-24	-5.549	-5.337	-5.159	-4.86	
06-25	-5.552	-5.341	-5.163	-4.865	
06-26	-5.556	-5.345	-5.168	-4.867	
06-27	-5.559	-5.349	-5.172	-4.872	
06-28	-5.563	-5.333	-5.169	-4.877	
06-29	-5.566	-5.337	-5.166	-4.862	
06-30	-5.57	-5.341	-5.171	-4.845	
07-01	-5.573	-5.345	-5.175	-4.828	
07-02	-5.577	-5.349	-5.18	-4.83	
07-03	-5.58	-5.353	-5.184	-4.835	
07-04	-5.583	-5.345	-5.188	-4.84	
07-05	-5.587	-5.349	-5.193	-4.845	
07-06	-5.59	-5.353	-5.197	-4.851	
07-07	-5.594	-5.355	-5.201	-4.856	
07-08	-5.597	-5.359	-5.196	-4.861	
07-09	-5.6	-5.363	-5.199	-4.866	
07-10	-5.591	-5.367	-5.203	-4.871	
07-11	-5.579	-5.371	-5.208	-4.873	
07-12	-5.582	-5.375	-5.212	-4.878	
07-13	-5.585	-5.379	-5.216	-4.883	
07-14	-5.589	-5.383	-5.221	-4.888	
07-15	-5.582	-5.386	-5.225	-4.893	
07-16	-5.585	-5.39	-5.229	-4.898	
07-17	-5.582	-5.394	-5.233	-4.903	
07-18	-5.585	-5.383	-5.238	-4.908	
07-19	-5.588	-5.387	-5.241	-4.913	
07-20	-5.579	-5.379	-5.245	-4.918	
07-21	-5.583	-5.38	-5.249	-4.923	
07-22	-5.586	-5.384	-5.253	-4.928	
07-23	-5.589	-5.388	-5.257	-4.933	
07-24	-5.593	-5.392	-5.262	-4.938	
07-25	-5.584	-5.396	-5.266	-4.943	
07-26	-5.581	-5.4	-5.27	-4.948	
07-27	-5.585	-5.401	-5.274	-4.953	
07-28	-5.588	-5.405	-5.278	-4.958	
07-29	-5.583	-5.409	-5.282	-4.963	
07-30	-5.586	-5.411	-5.287	-4.968	
07-31	-5.59	-5.415	-5.291	-4.972	
08-01	-5.593	-5.419	-5.295	-4.977	
08-02	-5.596	-5.423	-5.299	-4.982	
08-03	-5.6	-5.427	-5.303	-4.987	
08-04	-5.603	-5.425	-5.292	-4.992	
08-05	-5.606	-5.429	-5.275	-4.992	
08-06	-5.61	-5.433	-5.263	-4.997	
08-07	-5.613	-5.437	-5.267	-5.001	
08-08	-5.616	-5.44	-5.271	-5.006	
08-09	-5.618	-5.444	-5.275	-4.998	
08-10	-5.616	-5.448	-5.28	-5.002	
08-11	-5.62	-5.44	-5.284	-5.007	
08-12	-5.623	-5.432	-5.288	-5.012	
08-13	-5.622	-5.436	-5.292	-5.017	
08-14	-5.612	-5.44	-5.296	-5.021	
08-15	-5.615	-5.444	-5.3	-5.026	
08-16	-5.619	-5.447	-5.3	-5.031	
08-17	-5.622	-5.451	-5.303	-5.033	
08-18	-5.625	-5.455	-5.307	-5.016	
08-19	-5.629	-5.459	-5.3	-4.999	
08-20	-5.632	-5.462	-5.286	-4.985	
08-21	-5.635	-5.466	-5.29	-4.989	
08-22	-5.638	-5.47	-5.294	-4.994	
08-23	-5.642	-5.466	-5.298	-4.999	
