DATE	P15	P40	P60	P85
05-08	20.8	35.9	49.0	66.5	
05-09	20.7	35.9	49.0	66.6	
05-10	20.8	36.0	49.0	67.5	
05-11	20.8	36.0	49.0	67.5	
05-12	20.8	37.1	49.5	67.5	
05-13	21.6	37.1	50.5	67.5	
05-14	22.6	37.1	50.6	68.3	
05-15	22.8	37.2	50.6	70.2	
05-16	22.8	37.1	51.1	70.6	
05-17	23.0	37.1	51.1	70.6	
05-18	22.9	36.9	50.8	70.2	
05-19	22.8	36.7	50.5	69.8	
05-20	22.8	37.7	50.4	69.7	
05-21	22.7	39.5	50.5	69.7	
05-22	22.8	40.6	50.8	69.7	
05-23	22.8	40.6	50.8	69.7	
05-24	22.7	40.5	50.8	69.7	
05-25	22.7	40.5	50.7	69.7	
05-26	22.8	40.6	50.8	69.7	
05-27	22.8	40.6	50.8	69.8	
05-28	22.7	41.5	51.3	70.2	
05-29	22.9	41.4	51.3	70.4	
05-30	22.9	42.0	51.4	70.5	
05-31	22.8	42.4	51.3	70.5	
06-01	22.8	42.6	51.3	70.5	
06-02	22.8	42.7	51.3	70.4	
06-03	22.8	42.7	51.4	70.5	
06-04	22.8	42.7	51.4	70.8	
06-05	22.5	42.5	51.2	70.7	
06-06	22.6	42.5	51.2	70.8	
06-07	22.5	42.3	51.0	70.5	
06-08	22.2	41.9	50.4	69.5	
06-09	22.1	41.7	50.2	69.3	
06-10	22.6	41.7	50.3	69.4	
06-11	22.6	41.7	50.2	69.4	
06-12	22.8	42.5	50.2	70.5	
06-13	22.8	42.2	49.8	71.7	
06-14	22.4	41.4	48.9	70.5	
06-15	22.0	41.6	49.1	69.2	
06-16	22.0	41.6	50.2	69.3	
06-17	22.0	41.6	50.1	71.0	
06-18	22.2	41.6	50.2	71.2	
06-19	22.6	41.6	50.7	71.2	
06-20	22.6	41.6	52.4	71.2	
06-21	22.6	41.6	53.0	71.7	
06-22	22.6	41.6	53.1	72.9	
06-23	22.6	41.5	53.0	73.4	
06-24	22.6	41.5	53.0	73.5	
06-25	22.6	41.6	53.0	74.4	
06-26	22.6	41.6	53.0	76.2	
06-27	22.2	41.2	54.1	77.9	
06-28	22.0	41.1	55.8	79.5	
06-29	22.0	41.1	56.3	79.4	
06-30	21.9	40.9	55.9	78.9	
07-01	20.7	41.0	55.0	78.1	
07-02	19.2	39.9	54.2	77.7	
07-03	19.4	40.0	54.2	77.7	
07-04	19.3	39.9	54.2	77.7	
07-05	18.1	39.1	53.5	77.4	
07-06	16.6	38.0	52.6	77.0	
07-07	15.0	36.8	51.8	76.5	
07-08	14.9	36.6	51.9	76.5	
07-09	16.9	36.5	51.9	76.5	
07-10	18.4	36.5	51.8	76.4	
07-11	18.1	35.9	51.0	75.5	
07-12	17.7	35.3	50.0	74.1	
07-13	16.4	33.8	48.5	72.3	
07-14	15.7	32.9	47.3	70.9	
07-15	16.9	32.6	47.0	70.4	
07-16	16.6	32.2	46.3	69.4	
07-17	15.8	31.4	45.8	69.4	
07-18	15.7	31.7	45.7	69.4	
07-19	15.7	31.7	47.4	69.7	
07-20	15.8	31.8	47.5	69.7	
07-21	15.7	31.8	47.4	69.7	
07-22	15.6	31.5	47.1	69.2	
07-23	15.3	30.9	46.2	67.9	
07-24	15.1	30.3	45.4	66.6	
07-25	14.8	29.7	44.5	65.5	
07-26	14.5	29.9	43.8	64.3	
07-27	14.3	29.4	43.1	63.2	
07-28	14.0	28.9	42.3	62.2	
07-29	13.8	28.4	41.6	61.1	
07-30	13.6	27.9	40.9	60.1	
07-31	13.6	27.9	40.9	60.1	
08-01	13.5	27.9	40.9	60.0	
08-02	13.6	27.9	40.9	61.0	
08-03	13.5	28.1	41.0	61.8	
08-04	13.6	29.7	42.7	62.4	
08-05	13.5	29.6	44.4	62.4	
08-06	13.6	29.6	46.0	64.1	
